"question_id","deadline","pseudonym","question_title","option_a","option_b","ground_truth","user_vote","is_correct","voted_at"
"1","2026-03-02T17:30:00.000Z","Expert 1","Day 1: will the SMI close up or down?","Up","Down","A","A","1","2026-03-02T08:15:00.000Z"
"1","2026-03-02T17:30:00.000Z","Expert 2","Day 1: will the SMI close up or down?","Up","Down","A","B","0","2026-03-02T08:15:00.000Z"
"1","2026-03-02T17:30:00.000Z","Expert 3","Day 1: will the SMI close up or down?","Up","Down","A","B","0","2026-03-02T08:15:00.000Z"
"1","2026-03-02T17:30:00.000Z","Expert 4","Day 1: will the SMI close up or down?","Up","Down","A","A","1","2026-03-02T08:15:00.000Z"
"1","2026-03-02T17:30:00.000Z","Expert 5","Day 1: will the SMI close up or down?","Up","Down","A","A","1","2026-03-02T08:15:00.000Z"
"1","2026-03-02T17:30:00.000Z","Expert 6","Day 1: will the SMI close up or down?","Up","Down","A","A","1","2026-03-02T08:15:00.000Z"
"1","2026-03-02T17:30:00.000Z","Expert 7","Day 1: will the SMI close up or down?","Up","Down","A","B","0","2026-03-02T08:15:00.000Z"
"2","2026-03-03T17:30:00.000Z","Expert 1","Day 2: will the SMI close up or down?","Up","Down","A","A","1","2026-03-03T08:15:00.000Z"
"2","2026-03-03T17:30:00.000Z","Expert 2","Day 2: will the SMI close up or down?","Up","Down","A","A","1","2026-03-03T08:15:00.000Z"
"2","2026-03-03T17:30:00.000Z","Expert 3","Day 2: will the SMI close up or down?","Up","Down","A","B","0","2026-03-03T08:15:00.000Z"
"2","2026-03-03T17:30:00.000Z","Expert 4","Day 2: will the SMI close up or down?","Up","Down","A","B","0","2026-03-03T08:15:00.000Z"
"2","2026-03-03T17:30:00.000Z","Expert 5","Day 2: will the SMI close up or down?","Up","Down","A","B","0","2026-03-03T08:15:00.000Z"
"2","2026-03-03T17:30:00.000Z","Expert 6","Day 2: will the SMI close up or down?","Up","Down","A","B","0","2026-03-03T08:15:00.000Z"
"2","2026-03-03T17:30:00.000Z","Expert 7","Day 2: will the SMI close up or down?","Up","Down","A","A","1","2026-03-03T08:15:00.000Z"
"3","2026-03-04T17:30:00.000Z","Expert 1","Day 3: will the SMI close up or down?","Up","Down","A","B","0","2026-03-04T08:15:00.000Z"
"3","2026-03-04T17:30:00.000Z","Expert 2","Day 3: will the SMI close up or down?","Up","Down","A","B","0","2026-03-04T08:15:00.000Z"
"3","2026-03-04T17:30:00.000Z","Expert 3","Day 3: will the SMI close up or down?","Up","Down","A","A","1","2026-03-04T08:15:00.000Z"
